id,user_id,anime_id,status,favorite,progress,updated_at
1,c1f88a1e-dd91-4308-a0a8-7bee40d2a4af,one-piece,watching,true,"{""anime"":{""id"":""one-piece"",""title"":""One Piece""},""episode"":1000,""timestamp"":1783600686864}",2026-07-09 12:38:06.864+00
14727,fdf3e2b2-0af9-4523-a1a0-5f77ecb6f07b,137653,temp_watching,false,"{""anime"":{""id"":""137653""},""episode"":1,""timestamp"":1783983192335}",2026-07-13 22:53:24.934+00
136,9e46d0be-6706-4b4a-844b-6893a332cb39,113415,temp_watching,false,"{""anime"":{""id"":""113415""},""episode"":1,""timestamp"":1783692086457}",2026-07-10 14:01:39.1+00
137,9e46d0be-6706-4b4a-844b-6893a332cb39,207141,temp_watching,false,"{""anime"":{""id"":""207141""},""episode"":1,""timestamp"":1783692338920}",2026-07-10 14:05:51.456+00
23764,242b3a90-1934-46ed-a37c-b16439309ca3,21,temp_watching,false,"{""anime"":{""id"":""21""},""episode"":50,""timestamp"":1784203826432}",2026-07-16 12:10:38.993+00
16676,eaeb5ac1-2875-406c-ae34-e52856dd17cd,140842,temp_watching,false,"{""anime"":{""id"":""140842""},""episode"":1,""timestamp"":1784017048350}",2026-07-14 08:17:43.633+00
5963,8e2bf78f-6872-41f2-ad0f-eab0d9952377,43,completed,false,"{""anime"":{""id"":43,""idMal"":43,""title"":{""native"":""GHOST IN THE SHELL / 攻殻機動隊"",""romaji"":""GHOST IN THE SHELL: Koukaku Kidoutai"",""english"":""Ghost in the Shell""},""format"":""MOVIE"",""genres"":[""Action"",""Psychological"",""Sci-Fi""],""status"":""FINISHED"",""endDate"":{""day"":18,""year"":1995,""month"":11},""studios"":{""nodes"":[{""name"":""Production I.G""}]},""duration"":83,""episodes"":1,""startDate"":{""day"":18,""year"":1995,""month"":11},""characters"":{""edges"":[{""node"":{""id"":2654,""name"":{""full"":""Togusa""},""image"":{""large"":""https://s4.anilist.co/file/anilistcdn/character/large/2654.jpg""}},""voiceActors"":[{""name"":{""full"":""Kouichi Yamadera""},""image"":{""large"":""https://s4.anilist.co/file/anilistcdn/staff/large/n95011-2RfLzncNyvbR.png""}}]},{""node"":{""id"":2653,""name"":{""full"":""Batou""},""image"":{""large"":""https://s4.anilist.co/file/anilistcdn/character/large/2653.jpg""}},""voiceActors"":[{""name"":{""full"":""Akio Ootsuka""},""image"":{""large"":""https://s4.anilist.co/file/anilistcdn/staff/large/n95146-T6IEmqXW3xUN.jpg""}}]},{""node"":{""id"":1795,""name"":{""full"":""Motoko Kusanagi""},""image"":{""large"":""https://s4.anilist.co/file/anilistcdn/character/large/b1795-vKakY5aXVyCl.jpg""}},""voiceActors"":[{""name"":{""full"":""Maaya Sakamoto""},""image"":{""large"":""https://s4.anilist.co/file/anilistcdn/staff/large/n95090-oARRP42NEhu0.jpg""}},{""name"":{""full"":""Atsuko Tanaka""},""image"":{""large"":""https://s4.anilist.co/file/anilistcdn/staff/large/n95100-v07xvA8V2Yeh.png""}}]},{""node"":{""id"":2677,""name"":{""full"":""Daisuke Aramaki""},""image"":{""large"":""https://s4.anilist.co/file/anilistcdn/character/large/n2677-lPWyWsFWTJhp.png""}},""voiceActors"":[{""name"":{""full"":""Tamio Ooki""},""image"":{""large"":""https://s4.anilist.co/file/anilistcdn/staff/large/n95892-hARexeaqvxfo.jpg""}}]},{""node"":{""id"":77779,""name"":{""full"":""Nakamura""},""image"":{""large"":""https://s4.anilist.co/file/anilistcdn/character/large/77779.jpg""}},""voiceActors"":[{""name"":{""full"":""Tesshou Genda""},""image"":{""large"":""https://s4.anilist.co/file/anilistcdn/staff/large/n95761-nwndYRCqJxno.png""}}]},{""node"":{""id"":2676,""name"":{""full"":""Ishikawa""},""image"":{""large"":""https://s4.anilist.co/file/anilistcdn/character/large/b2676-2wg98eOH9BEh.png""}},""voiceActors"":[{""name"":{""full"":""Yutaka Nakano""},""image"":{""large"":""https://s4.anilist.co/file/anilistcdn/staff/large/n102260-OSLwIM0iBKFa.jpg""}}]},{""node"":{""id"":18516,""name"":{""full"":""Project 2501""},""image"":{""large"":""https://s4.anilist.co/file/anilistcdn/character/large/b18516-0jVQdvyC4i1j.png""}},""voiceActors"":[{""name"":{""full"":""Iemasa Kayumi""},""image"":{""large"":""https://s4.anilist.co/file/anilistcdn/staff/large/1485.jpg""}}]}]},""coverImage"":{""color"":null,""large"":""https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx43-Y6EjeEMM14dj.png"",""extraLarge"":""https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx43-Y6EjeEMM14dj.png""},""popularity"":170763,""bannerImage"":""https://s4.anilist.co/file/anilistcdn/media/anime/banner/43-uDbk1jrG9yod.jpg"",""description"":""2029: A female cybernetic government agent, Major Motoko Kusanagi, and the Internal Bureau of Investigations are hot on the trail of “The Puppet Master,” a mysterious and threatening computer virus capable of infiltrating human hosts. Together with her fellow agents from Section 9, Kusanagi embarks on a high-tech race against time to capture the omnipresent entity.<br>\n<br>\n(Source: Lionsgate Films)"",""averageScore"":80,""recommendations"":{""nodes"":[{""mediaRecommendation"":{""id"":47,""title"":{""romaji"":""AKIRA"",""english"":""Akira""},""format"":""MOVIE"",""status"":""FINISHED"",""episodes"":1,""coverImage"":{""color"":""#e45d50"",""large"":""https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx47-4CR68arv452h.jpg"",""extraLarge"":""https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx47-4CR68arv452h.jpg""},""averageScore"":79}},{""mediaRecommendation"":{""id"":120377,""title"":{""romaji"":""Cyberpunk: Edgerunners"",""english"":""Cyberpunk: Edgerunners""},""format"":""ONA"",""status"":""FINISHED"",""episodes"":10,""coverImage"":{""color"":""#78f150"",""large"":""https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx120377-ayZPoxiWt4Li.jpg"",""extraLarge"":""https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx120377-ayZPoxiWt4Li.jpg""},""averageScore"":85}},{""mediaRecommendation"":{""id"":790,""title"":{""romaji"":""Ergo Proxy"",""english"":""Ergo Proxy""},""format"":""TV"",""status"":""FINISHED"",""episodes"":23,""coverImage"":{""color"":null,""large"":""https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx790-YTUCvBKX8ZWK.jpg"",""extraLarge"":""https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx790-YTUCvBKX8ZWK.jpg""},""averageScore"":76}},{""mediaRecommendation"":{""id"":128546,""title"":{""romaji"":""Vivy: Fluorite Eye’s Song"",""english"":""Vivy -Fluorite Eye's Song-""},""format"":""TV"",""status"":""FINISHED"",""episodes"":13,""coverImage"":{""color"":""#35a1bb"",""large"":""https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx128546-UIwyhuhjxmL0.jpg"",""extraLarge"":""https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx128546-UIwyhuhjxmL0.jpg""},""averageScore"":82}},{""mediaRecommendation"":{""id"":570,""title"":{""romaji"":""JIN-ROH"",""english"":""Jin-Roh: The Wolf Brigade""},""format"":""MOVIE"",""status"":""FINISHED"",""episodes"":1,""coverImage"":{""color"":""#e4c993"",""large"":""https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx570-xyP4IO7i3ua2.jpg"",""extraLarge"":""https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx570-xyP4IO7i3ua2.jpg""},""averageScore"":76}},{""mediaRecommendation"":{""id"":339,""title"":{""romaji"":""serial experiments lain"",""english"":""Serial Experiments Lain""},""format"":""TV"",""status"":""FINISHED"",""episodes"":13,""coverImage"":{""color"":""#e4a1d6"",""large"":""https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx339-xF2wp1NQuQ4r.png"",""extraLarge"":""https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx339-xF2wp1NQuQ4r.png""},""averageScore"":80}},{""mediaRecommendation"":{""id"":13601,""title"":{""romaji"":""PSYCHO-PASS"",""english"":""PSYCHO-PASS""},""format"":""TV"",""status"":""FINISHED"",""episodes"":22,""coverImage"":{""color"":""#288686"",""large"":""https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx13601-i42VFuHpqEOJ.jpg"",""extraLarge"":""https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx13601-i42VFuHpqEOJ.jpg""},""averageScore"":81}},{""mediaRecommendation"":{""id"":1096,""title"":{""romaji"":""Kidou Keisatsu Patlabor 2: the Movie"",""english"":""Mobile Police Patlabor 2: The Movie""},""format"":""MOVIE"",""status"":""FINISHED"",""episodes"":1,""coverImage"":{""color"":""#ae5d1a"",""large"":""https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx1096-O4Nz0aBmMSxH.jpg"",""extraLarge"":""https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx1096-O4Nz0aBmMSxH.jpg""},""averageScore"":81}}]},""nextAiringEpisode"":null},""episode"":1,""timestamp"":1783795065968}",2026-07-13 20:06:53.043+00
23769,35c3fcc4-a30f-45a3-a0fd-3f7e4ccead8e,21,temp_watching,false,"{""anime"":{""id"":""21""},""episode"":1144,""timestamp"":1784203972868}",2026-07-16 12:13:05.274+00
138,854a46f6-9a4b-4445-ae56-e451299085f5,189046,temp_watching,false,"{""anime"":{""id"":""189046""},""episode"":4,""timestamp"":1783693639147}",2026-07-10 14:27:31.716+00
16892,34588740-0000-4e2e-b7e3-5a2280a7e7ba,178025,plan_to_watch,false,"{""anime"":{""id"":178025,""idMal"":59062,""title"":{""native"":""ガチアクタ"",""romaji"":""Gachiakuta"",""english"":""Gachiakuta""},""format"":""TV"",""status"":""FINISHED"",""episodes"":24,""coverImage"":{""color"":""#e4a150"",""large"":""https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178025-cWJKEsZynkil.jpg"",""extraLarge"":""https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx178025-cWJKEsZynkil.jpg""},""averageScore"":82},""episode"":null,""timestamp"":null}",2026-07-21 01:50:52.958+00
